             0	      0.538344	      0.410129	      -2.52193
         0.002	     -0.395263	     -0.402575	      -1.80227
         0.004	      0.190122	     -0.826651	      -2.93609
         0.006	    -0.0435456	     -0.575223	      -1.76343
         0.008	      -0.59665	      0.572611	      -2.62441
          0.01	      0.199011	      0.352895	      -1.74781
         0.012	      0.482453	     -0.283748	      -2.93333
         0.014	      0.163555	     -0.772875	      -2.36589
         0.016	     -0.125111	     -0.574265	      -3.46411
         0.018	       0.90401	     -0.445391	      -2.81899
          0.02	      0.920422	      0.700905	      -2.64952
         0.022	      0.332641	     -0.545132	       -2.8281
         0.024	     -0.918038	     -0.708774	      -2.87962
         0.026	      0.810431	     0.0336355	      -3.07599
         0.028	     -0.293295	       0.50625	      -3.18363
          0.03	     -0.220422	      0.214171	      -2.56125
         0.032	    -0.0270551	     0.0599857	      -3.63197
         0.034	      0.346351	     -0.713553	      -3.23531
         0.036	     -0.530419	     -0.943652	      -2.86153
         0.038	      0.964324	      0.993136	      -3.11704
          0.04	     -0.964477	      0.825526	      -2.69104
         0.042	      0.499094	      0.338133	      -2.79854
         0.044	     -0.789427	     0.0586289	      -3.75921
         0.046	     -0.892268	       0.70746	      -2.57532
         0.048	      0.386578	      0.933432	      -2.28583
          0.05	     -0.784723	     -0.137254	      -2.16616
         0.052	      0.374461	      0.609011	      -3.56948
         0.054	      0.241742	     0.0308884	      -3.72238
         0.056	      0.529098	     -0.246892	      -3.03333
         0.058	     -0.101709	    0.00892615	      -3.26537
          0.06	      0.368856	      0.121526	      -2.14111
         0.062	      -0.61953	     -0.705204	      -2.38027
         0.064	       0.27122	      0.659159	      -3.03847
         0.066	      0.813868	      -0.51413	      -2.12003
         0.068	      0.547736	     0.0640825	      -3.67679
          0.07	    -0.0177796	     -0.899219	      -3.72464
         0.072	     -0.683766	     -0.317935	       -2.4357
         0.074	      0.210804	      0.185789	       -3.4543
         0.076	     -0.977947	      0.933931	      -3.93977
         0.078	      0.629571	      0.695733	      -2.46118
          0.08	     -0.176059	       1.03048	      -4.01325
         0.082	     -0.229996	     -0.201216	      -3.22671
         0.084	      0.150821	     0.0763533	      -3.83186
         0.086	      0.820096	     -0.842683	      -3.18449
         0.088	      0.349742	     -0.619198	      -3.76968
          0.09	     -0.712784	       0.47531	      -2.24442
         0.092	     -0.185613	     -0.270113	      -2.32209
         0.094	     -0.797664	      -0.23484	      -2.93611
         0.096	      0.741059	      0.695784	      -2.69675
         0.098	      0.975184	     -0.233689	      -3.97078
           0.1	     -0.693708	      0.820338	       -3.2164
         0.102	     -0.537387	     -0.583253	      -3.20563
         0.104	     -0.625294	     -0.614964	      -2.51229
         0.106	    -0.0472111	      0.531092	      -3.48359
         0.108	     -0.734496	     0.0223446	      -3.66454
          0.11	     0.0324725	      0.510243	      -4.02659
         0.112	      0.521095	      0.842128	      -3.97496
         0.114	      0.974153	    -0.0792163	       -2.2242
         0.116	     -0.169504	     -0.671624	      -2.63655
         0.118	      0.585818	     -0.258836	      -4.08974
          0.12	     -0.104136	     -0.662112	      -2.98412
         0.122	    0.00212203	     -0.246322	      -3.69906
         0.124	     -0.739602	       0.10386	      -2.68854
         0.126	      0.537889	     -0.248639	      -4.00938
         0.128	        1.0007	     -0.621104	      -2.24351
          0.13	      0.641495	      -0.83736	      -2.90479
         0.132	     -0.145163	     -0.381428	      -2.42488
         0.134	     -0.859692	      -0.95234	       -3.5746
         0.136	      0.838532	     -0.488721	      -3.65482
         0.138	     -0.533426	    -0.0872186	      -3.81478
          0.14	    -0.0577745	     -0.683309	      -3.92476
         0.142	     -0.589178	      0.726765	      -4.14448
         0.144	      0.691379	     -0.447234	      -3.64862
